block	count	size	element size	actual element size
triggers_block	93	4464	52	48.000000
firing_positions_block	2414	77248	32	32.000000
character_palette_block	15	120	16	8.000000
sector_link_block	36683	586928	16	16.000000
sector_vertex_block	20673	248076	12	12.000000
sector_block	16523	132184	8	8.000000
ref_block	17581	70324	4	4.000000
sector_bsp2d_nodes_block	11340	226800	20	20.000000
environment_object_bsp_refs	146	2336	16	16.000000
environment_object_nodes	36	144	4	4.000000
environment_object_refs	113	3164	36	28.000000
instanced_geometry_reference_block	701	2804	4	4.000000
pathfinding_data_block	3	348	156	116.000000
flight_reference_block	144	576	4	4.000000
areas_block	232	31552	140	136.000000
zone_block	11	616	64	56.000000
flock_source_block	5	140	28	28.000000
flock_definition_block	4	528	148	132.000000
campaign_metagame_bucket_block	10	40	2	4.000000
animation_graph_sound_reference_block	318	3816	20	12.000000
animation_graph_node_block	1286	41152	32	32.000000
animation_graph_effect_reference_block	9	108	20	12.000000
animation_frame_event_block	921	3684	4	4.000000
animation_sound_event_block	1446	11568	8	8.000000
animation_effect_event_block	3	12	4	4.000000
animation_blend_screen_block	52	1456	28	28.000000
object_space_node_data_block	34	952	28	28.000000
animation_pool_block	2859	274464	124	96.000000
animation_transition_destination_block	517	10340	20	20.000000
animation_transition_block	323	6460	24	20.000000
animation_ik_block	55	440	8	8.000000
animation_entry_block	3949	31592	8	8.000000
damage_region_block	1001	4004	4	4.000000
damage_direction_block	124	992	12	8.000000
damage_animation_block	31	372	16	12.000000
vehicle_suspension_block	14	560	40	40.000000
weapon_type_block	1132	58864	76	52.000000
weapon_class_block	871	17420	28	20.000000
animation_mode_block	336	6720	28	20.000000
object_animation_block	1	20	20	20.000000
inherited_animation_node_map_block	200	408	2	2.040000
inherited_animation_node_map_flag_block	6	24	4	4.000000
inherited_animation_block	7	224	48	32.000000
weapon_class_lookup_block	60	480	8	8.000000
model_animation_graph	96	16512	236	172.000000
bitmap_data_block	3043	511224	140	168.000000
bitmap_group_sprite_block	867	27744	32	32.000000
bitmap_group_sequence_block	555	33300	64	60.000000
bitmap	1239	99120	112	80.000000
particle_models_block	24	192	8	8.000000
particle_model_vertices_block	1323	74088	56	56.000000
particle_model_indices_block	4419	8840	2	2.000453
particle_model	8	1792	292	224.000000
model	217	54684	348	252.000000
variant	124	6944	72	56.000000
region	350	7000	24	20.000000
model_variant_state_block	361	8664	32	24.000000
permutation	204	6528	36	32.000000
object	68	1088	24	16.000000
material	249	4980	20	20.000000
model_region_block	189	3024	20	16.000000
model_permutation_block	191	1528	8	8.000000
model_node_block	776	71392	92	92.000000
model_target_block	85	2380	28	28.000000
model_object_data_block	176	3520	20	20.000000
render_model	234	30888	184	132.000000
region	387	6192	20	16.000000
permutation	600	9600	16	16.000000
render_model_section_block	1328	122176	104	92.000000
bitvector	1447	5788	4	4.000000
section group	236	2832	16	12.000000
compound node	8	128	16	16.000000
node	945	90720	96	96.000000
marker group	917	11004	16	12.000000
marker	1506	54216	36	36.000000
prt_info_block	3	264	108	88.000000
prt lod info	5	60	16	12.000000
prt section info	50	400	8	8.000000
cluster basis	6750	27000	4	4.000000
section_render_leaves_block	34	272	12	8.000000
bsp_surface_reference_block	12956	103648	8	8.000000
bsp_leaf_block	5289	42312	8	8.000000
node_render_leaves_block	36	576	24	16.000000
material	309	1236	4	4.000000
region	246	2952	16	12.000000
collision_model_permutation_block	384	7680	28	20.000000
collision_model_node_block	701	8412	12	12.000000
sphere	241	4820	20	20.000000
bsp	610	41480	100	68.000000
collision_model	177	9204	76	52.000000
rigid_bodies_block	259	41440	144	160.000000
spheres_block	44	7040	128	160.000000
pills_block	84	8064	80	96.000000
boxes_block	43	7568	144	176.000000
polyhedra_block	250	72000	256	288.000000
polyhedron_four_vectors_block	222	10656	48	48.000000
