block	count	size	element size	actual element size
sound_gestalt_remastered_sound_references_block	7	56	16	8.000000
sound_gestalt_runtime_permutation_bit_vector_block	16	16	1	1.000000
sound_gestalt_language_chunks_block	9	72	12	8.000000
sound_cache_file_gestalt	1	120	180	120.000000
cache_file_sound	49	1372	28	28.000000
compression info	88	4928	56	56.000000
material	285	9120	52	32.000000
material property	113	904	8	8.000000
block resources	1941	31056	16	16.000000
bsp3d_nodes_block	2800	22400	8	8.000000
planes_block	1633	26128	16	16.000000
leaves_block	2187	8748	4	4.000000
bsp2d_references_block	3641	14564	4	4.000000
bsp2d_nodes_block	2213	35408	16	16.000000
surfaces_block	2885	23080	8	8.000000
edges_block	5347	64164	12	12.000000
vertices_block	2620	41920	16	16.000000
global_collision_bsp_block	1	64	96	64.000000
ai_deafening_encoded_pas_block	76	304	4	4.000000
encoded_cluster_distances_block	2415	2416	1	1.000414
structure_bsp_audibility_block	1	52	72	52.000000
ui_levels_definition_block	1	24	36	24.000000
runtime_levels_definition_block	1	8	12	8.000000
ui_campaign_block	4	11536	2884	2884.000000
global_ui_campaign_level_block	20	57920	2904	2896.000000
global_ui_multiplayer_level_block	50	158600	3180	3172.000000
runtime_campaign_level_block	20	5280	264	264.000000
scenario_scenery_block	10	920	96	92.000000
scenario_scenery_palette_block	6	240	48	40.000000
scenario_biped_block	10	840	84	84.000000
scenario_biped_palette_block	2	80	48	40.000000
scenario_weapon_palette_block	1	40	48	40.000000
scenario_light_palette_block	4	160	48	40.000000
particle_system_definition_block_new	103	5768	68	56.000000
particle_system_emitter_definition_block	107	19688	228	184.000000
byte_block	26500	26500	1	1.000000
predicted_resource_block	3587	28696	8	8.000000
global_damage_info_block	3	744	320	248.000000
global_damage_section_block	5	280	68	56.000000
global_damage_nodes_block	91	1456	16	16.000000
collision_bsp_physics_block	32	5120	128	160.000000
platform_sound_effect_collection_block	8	160	28	20.000000
platform_sound_effect_template_collection_block	5	60	16	12.000000
platform_sound_effect_function_block	1	16	20	16.000000
platform_sound_effect_constant_block	24	96	4	4.000000
platform_sound_effect_override_descriptor_block	18	20	1	1.111111
platform_sound_effect_block	7	196	40	28.000000
platform_sound_effect_template_component_block	7	112	16	16.000000
platform_sound_effect_template_block	1	24	28	24.000000
structure_bsp_sound_cluster_block	2	40	28	20.000000
structure_sound_cluster_portal_designators	302	608	2	2.013245
structure_sound_cluster_interior_cluster_indices	140	280	2	2.000000
structure_portal_device_mapping_block	1	16	24	16.000000
structure_bsp_instanced_geometry_definition_block	73	14600	260	200.000000
structure_bsp_instanced_geometry_instances_block	104	9152	88	88.000000
hs_scripts_block	2	80	40	40.000000
player_training_entry_data_block	32	896	28	28.000000
runtime properties	57	4560	112	80.000000
shader	103	9476	128	92.000000
shader_template	50	4800	156	96.000000
shader_pass	61	2196	60	36.000000
parameter	42	1680	52	40.000000
decorator_placement_definition_block	1	48	64	48.000000
decorator_cell_collection_block	1	24	24	24.000000
render_state_block	573	2916	5	5.089005
pixel_shader_extern_map_block	17	48	2	2.823529
pixel_shader_index_block	88	88	1	1.000000
shader_postprocess_pixel_shader	786	44016	84	56.000000
tag_block_index_block	818	1684	2	2.058680
shader_postprocess_level_of_detail_new_block	31	220	6	7.096774
shader_postprocess_bitmap_new_block	414	4968	12	12.000000
shader_postprocess_implementation_new_block	490	4952	10	10.106122
shader_postprocess_overlay_new_block	455	9100	24	20.000000
