block	count	size	element size	actual element size
lightmap_scenery_object_info_block	191	2292	12	12.000000
lightmap_geometry_section_cache_data_block	13	936	108	72.000000
lightmap_geometry_section_block	555	46620	96	84.000000
structure_lightmap_group_block	4	416	156	104.000000
scenario_structure_lightmap	4	1040	268	260.000000
transparent_planes_block	51	1020	20	20.000000
structure_bsp_cluster_block	268	47168	216	176.000000
structure_bsp_fog_plane_block	2	48	24	24.000000
structure_bsp_cluster_portal_vertex_block	3260	39120	12	12.000000
structure_bsp_cluster_portal_block	534	19224	40	36.000000
structure_collision_materials_block	151	3020	36	20.000000
structure_bsp_marker_block	5	300	60	60.000000
structure_bsp_environment_object_palette_block	9	180	36	20.000000
structure_bsp_environment_object_block	38	3952	104	104.000000
structure_bsp_detail_object_data_block	4	144	52	36.000000
structure_bsp_cluster_instanced_geometry_index_block	1556	3324	2	2.136247
structure_bsp_background_sound_palette_block	55	5500	116	100.000000
structure_bsp_sound_environment_palette_block	25	1800	80	72.000000
structure_bsp_cluster_portal_index_block	1068	2392	2	2.239700
structure_bsp_leaf_block	32944	263552	8	8.000000
structure_bsp_surface_reference_block	257229	2057832	8	8.000000
structure_bsp_sky_owner_cluster_block	128	256	2	2.000000
scenario_structure_bsp	4	2288	792	572.000000
scenario_object_names_block	111	3996	36	36.000000
scenario_players_block	2	104	52	52.000000
scenario_trigger_volume_block	132	8976	68	68.000000
scenario_structure_bsp_reference_block	4	272	84	68.000000
syntax_datum_block	22436	448720	20	20.000000
scavenger hunt object	6	216	36	36.000000
scenario_decorator_set_palette_entry_block	8	64	16	8.000000
scenario_profiles_block	3	204	84	68.000000
scenario_atmospheric_fog_palette	2	488	256	244.000000
scenario_planar_fog_palette	5	80	24	16.000000
scenario_bsp_switch_trigger_volume_block	4	56	14	14.000000
scenario_cutscene_flag_block	42	2352	56	56.000000
scenario_cutscene_camera_point_block	6	384	64	64.000000
scenario_sky_reference_block	7	56	16	8.000000
scenario_cluster_background_sounds_block	268	1072	4	4.000000
scenario_cluster_sound_environments_block	238	952	4	4.000000
scenario_cluster_weather_properties_block	238	952	4	4.000000
scenario_cluster_atmospheric_fog_properties_block	118	472	4	4.000000
scenario_cluster_points_block	268	3216	12	12.000000
scenario_cluster_data_block	4	208	80	52.000000
scenario_spawn_data_block	1	96	108	96.000000
scenario_spherical_harmonic_lighting_point	2	24	12	12.000000
scenario_structure_bsp_spherical_harmonic_lighting_block	4	64	28	16.000000
scenario_level_data_block	1	24	40	24.000000
interpolators	1	24	28	24.000000
screen effect reference	1	36	44	36.000000
scenario	1	992	1476	992.000000
sky_light_block	6	312	72	52.000000
sky_atmospheric_fog_block	5	120	24	24.000000
sky_patchy_fog_block	1	80	88	80.000000
sky_radiosity_light_block	6	240	40	40.000000
sky_cubemap_block	6	72	20	12.000000
sky	6	1032	220	172.000000
sound_environment	5	360	72	72.000000
planar_fog_patchy_fog_block	1	52	60	52.000000
planar_fog	5	480	132	96.000000
patchy_fog	2	160	88	80.000000
decal	64	11008	188	172.000000
sound_scenery	8	1632	272	204.000000
mouse_cursor_bitmap_reference_block	4	32	16	8.000000
mouse_cursor_definition	1	12	16	12.000000
material_effect_material_block	2761	66264	40	24.000000
material_effect_block_v2	1413	33912	36	24.000000
material_effects	86	688	12	8.000000
scenario_hs_source_reference_block	4	32	16	8.000000
scenario_ai_resource_reference_block	2	16	16	8.000000
scenario_resource_reference_block	16	128	16	8.000000
scenario_resources_block	1	24	36	24.000000
breakable_surface	2	64	52	32.000000
materials_block	183	32940	316	180.000000
sound_class_ducker_block_definition	19	380	20	20.000000
sound_class_block	108	12960	128	120.000000
sound_classes	2	16	12	8.000000
sound_effect_template	5	140	40	28.000000
sound_effect_component_block	9	144	24	16.000000
platform_sound_filter_block	21	1512	72	72.000000
platform_sound_pitch_lfo_block	2	96	48	48.000000
platform_sound_filter_lfo_block	1	64	64	64.000000
sound_effect_playback_block	14	560	72	40.000000
platform_sound_playback_block	19	1064	76	56.000000
sound_effect_collection	1	8	12	8.000000
sound_gestalt_codec_block	13	40	3	3.076923
sound_gestalt_playback_block	428	23968	56	56.000000
sound_gestalt_scale_block	78	1560	20	20.000000
sound_gestalt_import_names_block	7931	31724	4	4.000000
sound_gestalt_pitch_range_parameters_block	39	392	10	10.051282
sound_gestalt_permutation_language_data_block	191304	1530432	8	8.000000
sound_gestalt_permutations_block	21256	340096	20	16.000000
sound_gestalt_pitch_ranges_block	5226	62712	12	12.000000
sound_gestalt_custom_playback_block	18	936	72	52.000000
sound_gestalt_lowpass_block	2	32	20	16.000000
sound_gestalt_remastered_sound_references_block	774	6192	16	8.000000
sound_gestalt_runtime_permutation_bit_vector_block	2217	2220	1	1.001353
sound_gestalt_promotions_block	15	420	36	28.000000
sound_gestalt_extra_info_block	2783	923956	372	332.000000
sound_gestalt_language_chunks_block	9	72	12	8.000000
sound_cache_file_gestalt	1	120	180	120.000000
cache_file_sound	5164	144592	28	28.000000
compression info	646	36176	56	56.000000
material	2167	69344	52	32.000000
material property	275	2200	8	8.000000
block resources	33307	532912	16	16.000000
bsp3d_nodes_block	97555	780440	8	8.000000
planes_block	46521	744336	16	16.000000
leaves_block	61475	245900	4	4.000000
bsp2d_references_block	130636	522544	4	4.000000
bsp2d_nodes_block	51182	818912	16	16.000000
surfaces_block	72822	582576	8	8.000000
edges_block	131391	1576692	12	12.000000
vertices_block	61210	979360	16	16.000000
global_collision_bsp_block	4	256	96	64.000000
door_encoded_pas_block	8	32	4	4.000000
cluster_door_portal_encoded_pas_block	120	480	4	4.000000
ai_deafening_encoded_pas_block	359	1436	4	4.000000
encoded_cluster_distances_block	11438	11440	1	1.000175
occluder_to_machine_door_mapping	1	4	1	4.000000
structure_bsp_audibility_block	4	208	72	52.000000
runtime_levels_definition_block	1	8	12	8.000000
global_ui_campaign_level_block	1	2896	2904	2896.000000
runtime_campaign_level_block	20	5280	264	264.000000
pathfinding_object_index_list_block	60	240	4	4.000000
scenario_scenery_block	325	29900	96	92.000000
scenario_scenery_palette_block	61	2440	48	40.000000
scenario_biped_block	36	3024	84	84.000000
scenario_biped_palette_block	16	640	48	40.000000
scenario_vehicle_block	22	1848	84	84.000000
scenario_vehicle_palette_block	30	1200	48	40.000000
scenario_equipment_block	93	5208	56	56.000000
scenario_equipment_palette_block	7	280	48	40.000000
scenario_weapon_block	90	7560	84	84.000000
scenario_weapon_palette_block	45	1800	48	40.000000
device_group_block	2	80	40	40.000000
scenario_machine_block	18	1296	76	72.000000
scenario_machine_palette_block	6	240	48	40.000000
scenario_sound_scenery_block	64	5120	80	80.000000
scenario_sound_scenery_palette_block	8	320	48	40.000000
scenario_light_block	53	5724	108	108.000000
scenario_light_palette_block	9	360	48	40.000000
scenario_crate_block	384	29184	76	76.000000
scenario_crate_palette_block	53	2120	48	40.000000
particle_system_definition_block_new	2132	119392	68	56.000000
particle_system_emitter_definition_block	1663	305992	228	184.000000
byte_block	212184	212184	1	1.000000
predicted_resource_block	21298	170384	8	8.000000
instantaneous_damage_repsonse_block	542	43360	104	80.000000
damage_seat_info_block	80	1600	20	20.000000
damage_constraint_info_block	5	100	20	20.000000
global_damage_info_block	87	21576	320	248.000000
global_damage_section_block	295	16520	68	56.000000
global_damage_nodes_block	683	10928	16	16.000000
collision_bsp_physics_block	230	36800	128	160.000000
platform_sound_effect_collection_block	8	160	28	20.000000
platform_sound_effect_template_collection_block	5	60	16	12.000000
platform_sound_effect_function_block	1	16	20	16.000000
platform_sound_effect_constant_block	24	96	4	4.000000
platform_sound_effect_override_descriptor_block	32	36	1	1.125000
platform_sound_effect_block	7	196	40	28.000000
platform_sound_effect_template_component_block	7	112	16	16.000000
platform_sound_effect_template_block	1	24	28	24.000000
breakable_surface_key_table_block	10	320	32	32.000000
structure_bsp_sound_cluster_block	104	2080	28	20.000000
structure_sound_cluster_portal_designators	1416	2960	2	2.090395
structure_sound_cluster_interior_cluster_indices	536	1204	2	2.246269
structure_portal_device_mapping_block	4	64	24	16.000000
structure_device_portal_association_block	1	12	12	12.000000
game_portal_to_portal_mapping_block	1	4	2	4.000000
structure_bsp_instanced_geometry_definition_block	287	57400	260	200.000000
structure_bsp_instanced_geometry_instances_block	1202	105776	88	88.000000
scenario_cutscene_title_block	3	108	36	36.000000
hs_scripts_block	425	17000	40	40.000000
hs_globals_block	57	2280	40	40.000000
hs_references_block	103	824	16	8.000000
hs_unit_seat_block	33	264	8	8.000000
g_scenario_editor_folder_block	2	520	260	260.000000
player_training_entry_data_block	32	896	28	28.000000
vehicle_phantom_shape_block	47	36848	672	784.000000
anti_gravity_point_definition_block	40	3040	76	76.000000
friction_point_definition_block	40	3040	76	76.000000
runtime properties	564	45120	112	80.000000
shader	924	85008	128	92.000000
shader_template	114	10944	156	96.000000
shader_pass	122	4392	60	36.000000
parameter	134	5360	52	40.000000
decorator_model_vertices_block	816	45696	56	56.000000
decorator_model_indices_block	2274	4548	2	2.000000
decorator_classes_block	15	300	24	20.000000
decorator_permutations_block	48	1920	40	40.000000
decorator_models_block	25	200	8	8.000000
decorator_shader_reference_block	13	104	16	8.000000
decorator_set	8	896	140	112.000000
decorator_placement_definition_block	4	192	64	48.000000
decorator_cache_block_block	991	51532	60	52.000000
decorator_group_block	1818	43632	24	24.000000
decorator_cell_collection_block	1609	38616	24	24.000000
render_state_block	818	4176	5	5.105134
pixel_shader_extern_map_block	17	48	2	2.823529
pixel_shader_index_block	88	88	1	1.000000
shader_postprocess_pixel_shader_constant_defaults	32	128	4	4.000000
shader_postprocess_pixel_shader	1020	57120	84	56.000000
tag_block_index_block	2569	5284	2	2.056831
shader_postprocess_level_of_detail_new_block	60	416	6	6.933333
shader_postprocess_bitmap_new_block	3757	45084	12	12.000000
shader_postprocess_implementation_new_block	2339	23544	10	10.065840
shader_postprocess_overlay_new_block	1492	29840	24	20.000000
shader_postprocess_overlay_reference_new_block	735	2940	4	4.000000
shader_postprocess_animated_parameter_new_block	106	252	2	2.377358
shader_postprocess_animated_parameter_reference_new_block	796	3184	4	4.000000
shader_postprocess_bitmap_property_block	160	640	4	4.000000
shader_postprocess_color_property_block	54	648	12	12.000000
shader_postprocess_value_property_block	78	312	4	4.000000
shader_template_postprocess_level_of_detail_new_block	54	584	10	10.814815
shader_template_postprocess_pass_new_block	576	5904	18	10.250000
shader_template_postprocess_implementation_new_block	1771	10752	6	6.071146
shader_template_postprocess_remapping_new_block	7919	31676	4	4.000000
shader_pass_postprocess_implementation_new_block	252	83328	350	330.666656
shader_pass_postprocess_texture_new_block	460	1840	4	4.000000
shader_pass_postprocess_texture_state_block	488	11712	24	24.000000
shader_pass_postprocess_extern_new_block	365	1460	4	4.000000
