sound_effect_template                                                                                       tag     string    padding  tag splat     bitmap      sound   vertices   geometry     shared  duplicate      total
                                       scenarios\skies\solo\earthcity\bitmaps\clouds_low_mask_tunnel        248          0          0         36      58376          0          0          0          0          0      58624
                                              scenarios\skies\solo\earthcity\bitmaps\bridge_sky_dome        248          0          0         36          0          0          0          0     144488          0     144736
                                    scenarios\skies\solo\earthcity\bitmaps\tunnel_sky_dome_highcolor        248          0          0         36      49987          0          0          0          0          0      50235
                                       scenarios\skies\solo\earthcity\bitmaps\cov_capitalship_bridge        248          0          0         36      87517          0          0          0          0          0      87765
                                                scenarios\skies\solo\earthcity\bitmaps\nm_sky_tether        248          0          0         36     116671          0          0          0          0          0     116919
                                                  scenarios\skies\solo\earthcity\bitmaps\ec_skysmoke        248          0          0         36      57345          0          0          0          0          0      57593
                                          scenarios\skies\solo\sentinelhq\bitmaps\sky_shq_layer_tile        248          0          0         36      60631          0          0          0          0          0      60879
                                       scenarios\skies\solo\earthcity\bitmaps\clouds_low_mask_bridge        248          0          0         36          0          0          0          0      58078          0      58326
                                    scenarios\skies\solo\earthcity\bitmaps\bridge_sky_dome_highcolor        248          0          0         36          0          0          0          0      52465          0      52713
                                               scenarios\skies\solo\earthcity\bitmaps\mountain_range        248          0          0         36          0          0          0          0     268985          0     269233
                                                 scenarios\skies\solo\earthcity\bitmaps\cine_fogband        248          0          0         36          0          0          0          0        590          0        838
                                                      scenarios\bitmaps\solo\earthcity\nm\bridge_fog        248          0          0         36          0          0          0          0      25456          0      25704
                                                      shaders\default_bitmaps\bitmaps\default_detail        248          0          0         36          0          0          0          0         23          0        271
                                          scenarios\bitmaps\human\urban\lights\sunlight_volume_large        248          0          0         36      18241          0          0          0          0          0      18489
                                                      shaders\default_bitmaps\bitmaps\default_vector        248          0          0         36          0          0          0          0         23          0        271
                                                     shaders\default_bitmaps\bitmaps\gray_50_percent        248          0          0         36          0          0          0          0         16          0        264
                                                                       rasterizer\linear_corner_fade        248          0          0         36          0          0          0          0        130          0        378
                                              scenarios\bitmaps\detail_maps\concrete\concrete_bubble        248          0          0         36          0          0          0          0      37559          0      37807
                                        scenarios\bitmaps\human\urban\concrete\concrete_chunks_a_dif        248          0          0         36          0          0          0          0      39638          0      39886
                                                  scenarios\bitmaps\detail_maps\concrete\poured_bump        248          0          0         36          0          0          0          0     153609          0     153857
                                              scenarios\bitmaps\detail_maps\concrete\concrete_broken        248          0          0         36      40830          0          0          0          0          0      41078
                                         scenarios\bitmaps\detail_maps\concrete\concrete_pitted_bump        248          0          0         36          0          0          0          0     199265          0     199513
                                             scenarios\bitmaps\human\urban\metals\concrete_rebar_dif        248          0          0         36         60          0          0          0          0          0        308
                                    scenarios\bitmaps\detail_maps\nature\treebark\palmtree_bark_bump        248          0          0         36      40500          0          0          0          0          0      40748
                                                  scenarios\bitmaps\nature\trees\palmtree_bark_a_dif        248          0          0         36       1364          0          0          0          0          0       1612
                                         scenarios\bitmaps\detail_maps\nature\treebark\palmtree_bark        248          0          0         36      10627          0          0          0          0          0      10875
                                                         shaders\default_bitmaps\bitmaps\color_white        248          0          0         36          0          0          0          0         32          0        280
                                                    scenarios\bitmaps\nature\trees\palm_frond_a_bump        248          0          0         36     100201          0          0          0          0          0     100449
                                                     scenarios\bitmaps\nature\trees\palm_frond_a_dif        248          0          0         36      28915          0          0          0          0          0      29163
                                                objects\vehicles\insertion_pod\bitmaps\insertion_pod        248          0          0         36      36017          0          0          0          0          0      36265
                                           objects\vehicles\insertion_pod\bitmaps\insertion_pod_bump        248          0          0         36      56560          0          0          0          0          0      56808
                                                           objects\bitmaps\reflection_maps\blue_tone        248          0          0         36          0          0          0          0      14927          0      15175
                                   objects\vehicles\insertion_pod\bitmaps\insertion_pod_illumination        248          0          0         36       2789          0          0          0          0          0       3037
                                         shaders\default_bitmaps\bitmaps\default_additive_zero_alpha        248          0          0         36          0          0          0          0         16          0        264
                                             shaders\default_bitmaps\bitmaps\color_black_alpha_black        248          0          0         36          0          0          0          0         25          0        273
                                 scenarios\objects\vehicles\h_semi_trailer\bitmaps\semi_trailer_bump        248          0          0         36      40464          0          0          0          0          0      40712
                                                           objects\bitmaps\reflection_maps\dark_gray        248          0          0         36          0          0          0          0      15379          0      15627
                                scenarios\objects\vehicles\h_semi_trailer\bitmaps\semi_trailer_color        248          0          0         36      69090          0          0          0          0          0      69338
                         scenarios\objects\vehicles\h_semi_trailer\bitmaps\semi_trailer_color_change        248          0          0         36        662          0          0          0          0          0        910
                                            scenarios\bitmaps\human\urban\metals\matte_grey_edge_dif        248          0          0         36          0          0          0          0      82212          0      82460
                                           scenarios\bitmaps\human\urban\metals\matte_grey_edge_bump        248          0          0         36          0          0          0          0      19254          0      19502
                                                scenarios\bitmaps\detail_maps\metal\brushed_vertical        248          0          0         36          0          0          0          0      36805          0      37053
                                         scenarios\bitmaps\multi\triplicate\cubemap_triplicate_metal        248          0          0         36       8198          0          0          0          0          0       8446
                                            scenarios\bitmaps\human\urban\metals\metal_strips_c_bump        248          0          0         36          0          0          0          0      38188          0      38436
                                             scenarios\bitmaps\human\urban\metals\metal_strips_c_dif        248          0          0         36          0          0          0          0      82466          0      82714
                                                             scenarios\bitmaps\reflection_maps\noise        248          0          0         36          0          0          0          0      14803          0      15051
                                               shaders\default_bitmaps\bitmaps\monochrome_alpha_grid        248          0          0         36          0          0          0          0         93          0        341
                                                           shaders\default_bitmaps\bitmaps\color_red        248          0          0         36         24          0          0          0          0          0        272
                                         scenarios\bitmaps\detail_maps\concrete\concrete_bubble_bump        248          0          0         36     148627          0          0          0          0          0     148875
                                         scenarios\bitmaps\detail_maps\concrete\concrete_broken_bump        248          0          0         36     216833          0          0          0          0          0     217081
                                           objects\vehicles\cov_guntower\bitmaps\cov_guntower_shield        248          0          0         36      38768          0          0          0          0          0      39016
                                             objects\vehicles\cov_guntower\bitmaps\cov_guntower_base        248          0          0         36     293564          0          0          0          0          0     293812
                                        objects\vehicles\cov_guntower\bitmaps\cov_guntower_base_bump        248          0          0         36     467677          0          0          0          0          0     467925
                                                      objects\bitmaps\reflection_maps\carapace_shell        248          0          0         36          0          0          0          0      15375          0      15623
