block	count	size	element size	actual element size
structure_sound_cluster_interior_cluster_indices	2	8	2	4.000000
structure_portal_device_mapping_block	1	16	24	16.000000
player_training_entry_data_block	32	896	28	28.000000
vehicle_phantom_shape_block	22	17248	672	784.000000
anti_gravity_point_definition_block	25	1900	76	76.000000
friction_point_definition_block	20	1520	76	76.000000
runtime properties	182	14560	112	80.000000
shader	356	32752	128	92.000000
shader_template	80	7680	156	96.000000
shader_pass	90	3240	60	36.000000
parameter	133	5320	52	40.000000
decorator_model_vertices_block	756	42336	56	56.000000
decorator_model_indices_block	2130	4260	2	2.000000
decorator_classes_block	11	220	24	20.000000
decorator_permutations_block	42	1680	40	40.000000
decorator_models_block	23	184	8	8.000000
decorator_shader_reference_block	10	80	16	8.000000
decorator_set	7	784	140	112.000000
decorator_placement_definition_block	1	48	64	48.000000
decorator_cell_collection_block	1	24	24	24.000000
render_state_block	698	3552	5	5.088825
pixel_shader_extern_map_block	17	48	2	2.823529
pixel_shader_index_block	88	88	1	1.000000
shader_postprocess_pixel_shader	854	47824	84	56.000000
tag_block_index_block	1434	2956	2	2.061367
shader_postprocess_level_of_detail_new_block	53	372	6	7.018868
shader_postprocess_bitmap_new_block	1384	16608	12	12.000000
shader_postprocess_implementation_new_block	1147	11580	10	10.095902
shader_postprocess_overlay_new_block	1077	21540	24	20.000000
shader_postprocess_overlay_reference_new_block	644	2576	4	4.000000
shader_postprocess_animated_parameter_new_block	89	208	2	2.337079
shader_postprocess_animated_parameter_reference_new_block	805	3220	4	4.000000
shader_postprocess_bitmap_property_block	125	500	4	4.000000
shader_postprocess_color_property_block	20	240	12	12.000000
shader_postprocess_value_property_block	54	216	4	4.000000
shader_template_postprocess_level_of_detail_new_block	41	444	10	10.829268
shader_template_postprocess_pass_new_block	341	3524	18	10.334311
shader_template_postprocess_implementation_new_block	950	5792	6	6.096842
shader_template_postprocess_remapping_new_block	4355	17420	4	4.000000
shader_pass_postprocess_implementation_new_block	180	59528	350	330.711121
shader_pass_postprocess_texture_new_block	350	1400	4	4.000000
shader_pass_postprocess_texture_state_block	357	8568	24	24.000000
shader_pass_postprocess_extern_new_block	292	1168	4	4.000000
pixel32_block	963	3852	4	4.000000
real_vector4d_block	1693	27088	16	16.000000
shader_postprocess_definition_new_block	1536	190464	184	124.000000
shader_template_postprocess_definition_new_block	240	9600	60	40.000000
shader_pass_postprocess_definition_new_block	270	23760	132	88.000000
hud_widget_effect_block	15	1560	124	104.000000
hud_bitmap_widgets	240	24000	120	100.000000
hud_text_widgets	47	3948	96	84.000000
hud_screen_effect_widgets	1	80	112	80.000000
new_hud_definition	32	1280	60	40.000000
hud_dashlights_block	9	252	52	28.000000
hud_waypoint_arrow_block	4	144	60	36.000000
hud_waypoint_block	8	192	40	24.000000
new_hud_sound_block	6	144	40	24.000000
hud_waypoint_arrow_block	15	1560	104	104.000000
hud_globals	1	1160	1364	1160.000000
single_animation_reference_block	129	2064	20	16.000000
user_interface_list_skin_definition	32	1920	88	60.000000
list_skin_reference_block	26	208	16	8.000000
window_pane_reference_block	87	6612	112	76.000000
local_string_id_list_string_reference_block	4	16	4	4.000000
local_string_id_list_section_reference_block	1	12	16	12.000000
user_interface_screen_widget_definition	74	8288	140	112.000000
user_interface_widget_reference_block	140	1120	16	8.000000
persistent_background_animation_block	8	128	20	16.000000
ui_error_block	267	6408	24	24.000000
ui_error_category_block	9	360	52	40.000000
skill_to_rank_mapping_block	50	200	4	4.000000
user_interface_shared_globals_definition	1	452	652	452.000000
user_interface_globals_definition	2	64	60	32.000000
button_widget_reference_block	53	3180	68	60.000000
list_reference_block	33	792	28	24.000000
text_block_reference_block	526	23144	44	44.000000
bitmap_block_reference_block	377	21112	64	56.000000
ui_object_reference_block	1	32	32	32.000000
ui_light_reference_block	1	32	32	32.000000
ui_model_scene_reference_block	1	76	84	76.000000
hud_block_reference_block	5	180	52	36.000000
player_block_reference_block	8	192	32	24.000000
screen_animation_keyframe_reference_block	299	5980	20	20.000000
background_animation_keyframe_reference_block	24	480	20	20.000000
animation_reference_block	59	2596	56	44.000000
unit_hud_reference_block	38	304	16	8.000000
unit_camera_track_block	71	568	16	8.000000
unit_seat_block	73	12848	192	176.000000
unit_weapon_block	18	144	16	8.000000
powered_seat_block	13	104	8	8.000000
contact_point_block	10	40	4	4.000000
biped	5	3940	988	788.000000
gear_block	10	680	68	68.000000
vehicle	22	16896	984	768.000000
object_function_block	65	2080	36	32.000000
object_attachment_block	209	5016	32	24.000000
object_widget_block	10	80	16	8.000000
object_change_color_initial_permutation	81	2592	32	32.000000
object_change_color_function	1	40	40	40.000000
object_change_colors	44	704	24	16.000000
object_ai_properties_block	34	544	16	16.000000
scenery	15	2940	264	196.000000
crate	72	13824	260	192.000000
magazine_objects	7	84	20	12.000000
magazines	15	1380	128	92.000000
barrel_firing_effect_block	38	1976	100	52.000000
weapon_barrels	43	10148	256	236.000000
weapon_triggers	17	1088	80	64.000000
weapon_first_person_interface_block	46	736	32	16.000000
weapon	41	32636	1128	796.000000
brightness animation	6	48	12	8.000000
color animation	1	8	12	8.000000
lighting_variables_block	2	288	160	144.000000
light	63	14364	272	228.000000
chocolate_mountain	1	8	12	8.000000
predicted_bitmaps_block	54	432	16	8.000000
equipment	12	3792	436	316.000000
antenna_vertex_block	17	2176	128	128.000000
antenna	3	480	180	160.000000
projectile_material_response_block	155	13640	112	88.000000
projectile	35	14700	604	420.000000
damage_effect_player_response_block	124	9424	88	76.000000
damage_effect	103	20600	212	200.000000
sound_references_block	1980	31680	24	16.000000
dialogue	6	144	36	24.000000
garbage	1	468	580	468.000000
cloth_vertices_block	48	960	20	20.000000
cloth_indices_block	299	600	2	2.006689
cloth_links_block	210	3360	16	16.000000
cloth	1	108	132	108.000000
classification	492	11808	44	24.000000
vertex_shader	91	3276	48	36.000000
aspect	11	308	36	28.000000
light_volume_runtime_offset_block	216	1728	8	8.000000
volume	17	2584	188	152.000000
light_volume	15	240	20	16.000000
core	2	112	76	56.000000
arc	1	236	276	236.000000
liquid	2	224	116	112.000000
reflection	56	2688	48	48.000000
lens_flare_scalar_animation_block	8	64	12	8.000000
lens_flare_color_animation_block	7	56	12	8.000000
lens_flare	53	5300	124	100.000000
cs_script_data_block	1	128	132	128.000000
