sound_effect_template                                                                                    count  elements      size   padding
                                                                                         permutation       258       500      8000         0
                                                                                              region       168       258      4128         0
                                                                                     block resources      1222      9536    123968     28608
                                                                          render_model_section_block       168      1222     97760     14664
                                                                                       section group       168       170      1700       340
                                                                                                node       168       791     75936         0
                                                                                            material       168       508     12700      3556
                                                                                        render_model       168       168     20832      1344
                                                                                           bitvector        72      1523      6092         0
                                                                                              marker       942      1519     53165      1519
                                                                                        marker group       122       942     11304         0
                                                                                   material property         4         5        40         0
                                                                                       compound node         2         8       128         0
                                                                                             totals:      3798     17318    425161     50031

multiplayer_globals                                                                                      count  elements      size   padding
                                                                             multiplayer_color_block         1         9       108         0
                                                                         multiplayer_universal_block         1         1        32         0
                                                                                       weapons_block         1        20       160         0
                                                                                      vehicles_block         1        14       112         0
                                                                                       grenade_block         1         2        16         0
                                                                                       powerup_block         1         2        16         0
                                                                                        sounds_block         1        43       344         0
                                                                     game_engine_general_event_block         1        80      8960      4480
                                                                      game_engine_flavor_event_block         1        14      1568       784
                                                                      game_engine_slayer_event_block         1         2       224       112
                                                                         game_engine_ctf_event_block         1        22      2464      1232
                                                                     game_engine_oddball_event_block         1         3       336       168
                                                                        game_engine_king_event_block         1         8       896       448
                                                                  game_engine_juggernaut_event_block         1         3       336       168
                                                                 game_engine_territories_event_block         1        11      1232       616
                                                                     game_engine_assault_event_block         1        25      2800      1400
                                                                         multiplayer_constants_block         1         1        88       264
                                                                   game_engine_status_response_block         1        23       460       184
                                                                           multiplayer_runtime_block         1         1       516       868
                                                                                 multiplayer_globals         1         1        16         0
                                                                                             totals:        20       285     20684     10724

new_hud_definition                                                                                       count  elements      size   padding
                                                                                  hud_bitmap_widgets        32       240     23040       960
                                                                                    hud_text_widgets        16        47      3760       188
                                                                                  new_hud_definition        32        32      1280         0
                                                                                          byte_block        15       492       492         0
                                                                             hud_widget_effect_block        15        15      1530        30
                                                                           hud_screen_effect_widgets         1         1        78         2
                                                                                             totals:       111       827     30180      1180

physics_model                                                                                            count  elements      size   padding
                                                                                     materials_block        95        99      1188         0
                                                                                  permutations_block       110       121      1452         0
                                                                                       regions_block        95       110      1320         0
                                                                                         nodes_block        75       193      2316         0
                                                                                       physics_model        95        95     23560      2280
                                                      physics_model_constraint_edge_constraint_block        21        21       252         0
                                                            physics_model_node_constraint_edge_block         6        23       460        92
                                                                                  rigid_bodies_block        94       133     19418      1862
                                                                                         pills_block         3        19      1824         0
                                                                                         boxes_block        17        21      3696         0
