sound_effect_template                                                                                       tag     string    padding  tag splat     bitmap      sound   vertices   geometry     shared  duplicate      total
                                                          effects\objects\weapons\rifle\smg\smg_clip        318         28         22         40          0          0          0          0       1104          0       1472
                                                             effects\bitmaps\lens_flares\soft_flares       1564        196        112         88          0          0          0          0      18369          0      20241
                                                        effects\bitmaps\energy\energy_blade_activate        248          0          0         36          0          0          0          0        894          0       1142
                                                                effects\bitmaps\energy\plasma_wispy1        248          0          0         36          0          0          0          0        982          0       1230
                                                                      rasterizer\plasma_shield_noise        248          0          0         36          0          0          0          0     104729          0     104977
                                                         effects\bitmaps\lens_flares\flares_generic2        928        112         64         64          0          0          0          0      19678          0      20782
                                                      effects\bitmaps\energy\shield_jackal_depletion        396         28         40         40          0          0          0          0       3327          0       3791
                                                                 effects\bitmaps\solids\impact_spray        248          0          0         36          0          0          0          0       3481          0       3729
                                                                effects\bitmaps\solids\impact_ripple        248          0          0         36          0          0          0          0        784          0       1032
                                                                effects\bitmaps\solids\impact_clumps        528        112         88         52          0          0          0          0        892          0       1620
                                                                effects\bitmaps\sparks\sparks_impact        396         28         40         40          0          0          0          0        826          0       1290
                                                   effects\bitmaps\energy\c_electric_discharge_white        396         28         40         40          0          0          0          0       2086          0       2550
                                               objects\characters\masterchief\bitmaps\flashlight_gel        248          0          0         36          0          0          0          0      11363          0      11611
                                                          effects\bitmaps\lens_flares\flares_generic       1564        196        112         88          0          0          0          0      41465          0      43337
                                                      ui\hud\bitmaps\new_hud\backgrounds\grenade_bkd       1220         84         48         68          0          0          0          0      47041          0      48393
                                                          ui\hud\bitmaps\new_hud\meters\shield_meter       1600        112         64         80          0          0          0          0      56669          0      58445
                                                    ui\hud\bitmaps\new_hud\backgrounds\motion_sensor        928        112         64         64          0          0          0          0      87956          0      89060
                                                 ui\hud\bitmaps\new_hud\scope_masks\binoculars_human        716         84         48         56          0          0          0          0      57870          0      58718
                                                     effects\decals\blood_splats\bitmaps\blood_splat        528        112         88         52          0          0          0          0       5310          0       6038
                                                                  effects\bitmaps\solids\water_spray        318         28         22         40          0          0          0          0       1655          0       2023
                                                         shaders\default_bitmaps\bitmaps\color_black        248          0          0         36          0          0          0          0         23          0        271
                                                          objects\characters\elite\bitmaps\head_bump        248          0          0         36          0          0          0          0     181981          0     182229
                                                               objects\characters\elite\bitmaps\head        248          0          0         36          0          0          0          0      82905          0      83153
                                                  objects\characters\elite\bitmaps\head_change_color        248          0          0         36          0          0          0          0        599          0        847
                                                      objects\bitmaps\reflection_maps\carapace_shell        248          0          0         36          0          0          0          0      15375          0      15623
                                              objects\characters\elite\bitmaps\head_active_camo_bump        248          0          0         36          0          0          0          0       2736          0       2984
                  objects\cinematics\covenant\elite_helmet_charred\bitmaps\bubbled_burn_detail_plate        416          0          0         40          0          0          0          0       9821          0      10237
                                         shaders\default_bitmaps\bitmaps\default_additive_zero_alpha        248          0          0         36          0          0          0          0         16          0        264
                                                             objects\characters\elite\bitmaps\helmet        248          0          0         36          0          0          0          0      18628          0      18876
                                                        objects\characters\elite\bitmaps\helmet_bump        248          0          0         36          0          0          0          0      25231          0      25479
                                                objects\characters\elite\bitmaps\helmet_change_color        248          0          0         36          0          0          0          0       1942          0       2190
                                            objects\characters\elite\bitmaps\helmet_active_camo_bump        248          0          0         36          0          0          0          0        688          0        936
                                                          objects\characters\elite\bitmaps\arms_bump        248          0          0         36          0          0          0          0     153094          0     153342
                                                               objects\characters\elite\bitmaps\arms        248          0          0         36          0          0          0          0      79473          0      79721
                                                  objects\characters\elite\bitmaps\arms_color_change        248          0          0         36          0          0          0          0      15511          0      15759
                                                    objects\characters\elite\bitmaps\arms_self_illum        248          0          0         36          0          0          0          0        354          0        602
                                              objects\characters\elite\bitmaps\arms_active_camo_bump        248          0          0         36          0          0          0          0       2736          0       2984
                                                         objects\characters\elite\bitmaps\torso_bump        248          0          0         36          0          0          0          0     136786          0     137034
                                                              objects\characters\elite\bitmaps\torso        248          0          0         36          0          0          0          0      77855          0      78103
                                                 objects\characters\elite\bitmaps\torso_illumination        248          0          0         36          0          0          0          0        183          0        431
                                                 objects\characters\elite\bitmaps\torso_change_color        248          0          0         36          0          0          0          0       4887          0       5135
                                             objects\characters\elite\bitmaps\torso_active_camo_bump        248          0          0         36          0          0          0          0       2667          0       2915
                                                          objects\characters\elite\bitmaps\legs_bump        248          0          0         36          0          0          0          0     152172          0     152420
                                                               objects\characters\elite\bitmaps\legs        248          0          0         36          0          0          0          0      74546          0      74794
                                                  objects\characters\elite\bitmaps\legs_change_color        248          0          0         36          0          0          0          0       4439          0       4687
                                                    objects\characters\elite\bitmaps\legs_self_illum        248          0          0         36          0          0          0          0        210          0        458
                                              objects\characters\elite\bitmaps\legs_active_camo_bump        248          0          0         36          0          0          0          0       2736          0       2984
                                                     objects\characters\elite\bitmaps\council_helmet        248          0          0         36          0          0          0          0      37505          0      37753
