sound_effect_template                                                                                    count  elements      size   padding
                                                                                   list_shapes_block         3        36       432       144
                                                                                         mopps_block         3         3       120         0
                                                                                     mopp_codes_data         3         3       616         0
                                                                                             totals:      1024      4321    181486      7074

particle_physics                                                                                         count  elements      size   padding
                                                                                          byte_block        80      2808      2808         0
                                                                      particle_controller_parameters        74       216      4320         0
                                                                                 particle_controller        62        81       810       810
                                                                                    particle_physics        64        64      1280         0
                                                                                             totals:       280      3169      9218       810

point_physics                                                                                            count  elements      size   padding
                                                                                       point_physics         6         6       144       240
                                                                                             totals:         6         6       144       240

projectile                                                                                               count  elements      size   padding
                                                                             object_attachment_block        29        65      1430       130
                                                                                 object_widget_block         2         2        16         0
                                                                  projectile_material_response_block        24       153     13158       306
                                                                                          projectile        34        34     13736       544
                                                                            predicted_resource_block         4        25       200         0
                                                                        object_change_color_function         1         1        36         4
                                                                                object_change_colors         1         1        16         0
                                                                               object_function_block         1         1        32         0
                                                                                             totals:        96       282     28624       984

particle                                                                                                 count  elements      size   padding
                                                                                           parameter       119       132      5016       264
                                                                                          byte_block       261     21444     21444         0
                                                                 shader_postprocess_bitmap_new_block       118       118      1416         0
                                                                                       pixel32_block         2         2         8         0
                                                        shader_postprocess_level_of_detail_new_block         2         2        16         0
                                                                               tag_block_index_block         2        26        56         0
                                                            shader_postprocess_bitmap_property_block         1         5        20         0
                                                             shader_postprocess_definition_new_block       158       474     58776         0
                                                                                            particle       198       198     28908      8316
                                                                                 real_vector4d_block         2         4        64         0
                                                            particle_system_emitter_definition_block         1         1       176         8
                                                                particle_system_definition_block_new         1         1        56         0
                                                                                             totals:       865     22407    115956      8588

scenario_structure_bsp                                                                                   count  elements      size   padding
                                                                 structure_collision_materials_block         1         1        18         2
                                                                                   bsp3d_nodes_block         1         6        48         0
                                                                                        planes_block         1         6        96         0
                                                                                        leaves_block         1         1         4         0
                                                                              bsp2d_references_block         1         6        24         0
                                                                                      surfaces_block         1         6        48         0
                                                                                         edges_block         1        12       144         0
                                                                                      vertices_block         1         8       112        16
                                                                          global_collision_bsp_block         1         1        64         0
                                                                            structure_bsp_leaf_block         1         1         8         0
                                                               structure_bsp_surface_reference_block         1        12        96         0
                                                               structure_bsp_cluster_data_definition         1         1         8         0
                                                              structure_bsp_detail_object_data_block         1         1        32         4
                                                                                     block resources         1         9       117        27
                                                                            predicted_resource_block         1        25       200         0
