block	count	size	element size	actual element size
sound_gestalt_codec_block	8	24	3	3.000000
sound_gestalt_playback_block	393	22008	56	56.000000
sound_gestalt_scale_block	73	1460	20	20.000000
sound_gestalt_import_names_block	7674	30696	4	4.000000
sound_gestalt_pitch_range_parameters_block	38	380	10	10.000000
sound_gestalt_permutation_language_data_block	207027	1656216	8	8.000000
sound_gestalt_permutations_block	23003	368048	20	16.000000
sound_gestalt_pitch_ranges_block	5926	71112	12	12.000000
sound_gestalt_custom_playback_block	1	52	72	52.000000
sound_gestalt_lowpass_block	2	32	20	16.000000
sound_gestalt_remastered_sound_references_block	808	6464	16	8.000000
sound_gestalt_runtime_permutation_bit_vector_block	2234	2236	1	1.000895
sound_gestalt_promotions_block	17	476	36	28.000000
sound_gestalt_extra_info_block	3103	1030196	372	332.000000
sound_gestalt_language_chunks_block	9	72	12	8.000000
sound_cache_file_gestalt	1	120	180	120.000000
cache_file_sound	5862	164136	28	28.000000
compression info	169	9464	56	56.000000
material	632	20224	52	32.000000
block resources	61446	983136	16	16.000000
bsp3d_nodes_block	17506	140048	8	8.000000
planes_block	11945	191120	16	16.000000
leaves_block	14147	56588	4	4.000000
bsp2d_references_block	21521	86084	4	4.000000
bsp2d_nodes_block	910	14560	16	16.000000
surfaces_block	12614	100912	8	8.000000
edges_block	21149	253788	12	12.000000
vertices_block	9991	159856	16	16.000000
global_collision_bsp_block	1	64	96	64.000000
structure_bsp_audibility_block	1	52	72	52.000000
runtime_levels_definition_block	1	8	12	8.000000
runtime_campaign_level_block	20	5280	264	264.000000
scenario_scenery_block	3	276	96	92.000000
scenario_scenery_palette_block	3	120	48	40.000000
scenario_biped_block	16	1344	84	84.000000
scenario_biped_palette_block	16	640	48	40.000000
scenario_vehicle_block	8	672	84	84.000000
scenario_vehicle_palette_block	8	320	48	40.000000
scenario_equipment_block	4	224	56	56.000000
scenario_equipment_palette_block	4	160	48	40.000000
scenario_weapon_block	15	1260	84	84.000000
scenario_weapon_palette_block	19	760	48	40.000000
